inchikey,restriction_list,candidate_list,authorisation_list,pops_list,eu_positive_list,harmonised_list,restriction_process,svhc_identification,authorisation_process,dossier_evaluation,clh_process,substance_evaluation,pbt_assessment,ed_assessment,reach_registrations,pesticides,sommatie_stoffen
CYNYIHKIEHGYOZ-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
YLQBMQCUIZJEEH-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
XTHFKEDIFFGKHM-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
YFNKIDBQEZZDLK-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
JNRLEMMIVRBKJE-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
VVBLNCFGVYUYGU-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ZHNUHDYFZUAESO-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
MAGJOSJRYKEYAZ-UHFFFAOYSA-N,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
ZXJXZNDDNMQXFV-UHFFFAOYSA-M,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
OUPZKGBUJRBPGC-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
LLWJPGAKXJBKKA-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
RPPTVYMVSNHGRG-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
WNDULEJVCPEASN-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
OUPZKGBUJRBPGC-IWSPIJDZSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
LLABTCPIBSAMGS-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
NIGQUPUVERYFKP-UHFFFAOYSA-F,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
WETZJIOEDGMBMA-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
ZTPKOWRHFDMHPS-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
ISEQAARZRCDNJH-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
GQKCRUJOPUHISR-UHFFFAOYSA-M,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
LFEUVBZXUFMACD-UHFFFAOYSA-H,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MHVVRZIRWITSIP-UHFFFAOYSA-L,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DJHGAFSJWGLOIV-UHFFFAOYSA-N,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
RMBBSOLAGVEUSI-UHFFFAOYSA-H,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HSUIVCLOAAJSRE-UHFFFAOYSA-N,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
ISAVYTVYFVQUDY-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
VMPITZXILSNTON-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
KJFMBFZCATUALV-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
IBOFVQJTBBUKMU-UHFFFAOYSA-N,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
WSLDOOZREJYCGB-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
SBZXBUIDTXKZTM-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
SVONRAPFKPVNKG-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CFXQEHVMCRXUSD-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
OAKJQQAXSVQMHS-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
IKDUDTNKRLTJSI-UHFFFAOYSA-N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVKTUNLPFJHLCG-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
ILVKYQKHSCWQAW-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
KTVIXTQDYHMGHF-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
UFMZWBIQTDUYBN-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
ZOTKGJBKKKVBJZ-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
WGLPBDUCMAPZCE-UHFFFAOYSA-N,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
XNWFRZJHXBZDAG-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
QAHREYKOYSIQPH-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
XSTXAVWGXDQKEL-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
KMUONIBRACKNSN-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
QZSYXKPOZFXCDM-UHFFFAOYSA-N,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CDMADVZSLOHIFP-UHFFFAOYSA-N,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UQGFMSUEHSUPRD-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
KGBXLFKZBHKPEV-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0
JOSWYUNQBRPBDN-UHFFFAOYSA-P,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
PXLIDIMHPNPGMH-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
XMXNVYPJWBTAHN-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
MGWAVDBGNNKXQV-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0
HQUQLFOMPYWACS-UHFFFAOYSA-N,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
APAIXFDPIJWPBF-UHFFFAOYSA-L,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
RMBFBMJGBANMMK-UHFFFAOYSA-N,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
