direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0003544,Methyl-branched fatty acids,12,3
CHEMONTID:0003570,Estrogens and derivatives,12,1
CHEMONTID:0003653,"1,1'-azonaphthalenes",12,1
CHEMONTID:0003671,Aryl alkyl ketones,12,3
CHEMONTID:0003951,Dialkyl peroxides,12,7
CHEMONTID:0003962,Perfluoroalkyl carboxylic acid and derivatives,12,8
CHEMONTID:0003978,Hydroxybenzaldehydes,12,2
CHEMONTID:0004012,p-Phthalate esters,12,4
CHEMONTID:0004310,Valine and derivatives,12,2
CHEMONTID:0004317,Aspartic acid and derivatives,12,3
CHEMONTID:0004446,Siloxanes,12,7
CHEMONTID:0004478,Acetylides,12,4
CHEMONTID:0004480,Trialkylchlorosilanes,12,1
CHEMONTID:0004734,"1,3,5-triazine-2,4-diamines",12,5
CHEMONTID:0000040,Indanediones,11,4
CHEMONTID:0000080,Indazoles,11,2
CHEMONTID:0000181,Tetracyclines,11,2
CHEMONTID:0000282,Aminoglycosides,11,4
CHEMONTID:0000301,Benzofurans,11,1
CHEMONTID:0000304,Pyrazolopyridines,11,1
CHEMONTID:0000327,Bisphosphonates,11,3
CHEMONTID:0000370,Phenylmorpholines,11,1
CHEMONTID:0000550,Halogen oxides,11,6
CHEMONTID:0000583,Metalloid chlorides,11,5
CHEMONTID:0000695,Alkaline earth metal phosphates,11,4
CHEMONTID:0000895,Alkali metal borates,11,11
CHEMONTID:0001016,Cycloalkanes,11,7
CHEMONTID:0001146,Indolines,11,3
CHEMONTID:0001248,Hydroxybenzoic acid derivatives,11,6
CHEMONTID:0001262,Aminopyrimidines and derivatives,11,4
CHEMONTID:0001498,Hexoses,11,3
CHEMONTID:0001852,"1,3-aminoalcohols",11,2
CHEMONTID:0002017,Thiophene carboxylic acids and derivatives,11,5
CHEMONTID:0002054,Isoquinolones and derivatives,11,2
CHEMONTID:0002327,Phenylimidazoles,11,4
CHEMONTID:0002434,Alpha-hydrogen aldehydes,11,9
CHEMONTID:0002926,Ortho esters,11,1
CHEMONTID:0003408,Isobenzofurans,11,7
CHEMONTID:0004149,Polycyclic hydrocarbons,11,6
CHEMONTID:0004531,2-halopyrimidines,11,1
CHEMONTID:0004581,Trifluoromethanesulfonates,11,1
CHEMONTID:0000004,Organosulfur compounds,10,6
CHEMONTID:0000196,Oxazolidinones,10,3
CHEMONTID:0000218,Pyrrolidines,10,3
CHEMONTID:0000563,Alkali metal chlorides,10,4
CHEMONTID:0000574,Post-transition metal fluorides,10,6
CHEMONTID:0000589,Transition metal fluorides,10,5
CHEMONTID:0001030,Aryl chlorides,10,4
CHEMONTID:0001101,Iodobenzenes,10,3
CHEMONTID:0001253,Quinolines and derivatives,10,4
CHEMONTID:0001368,Thiocarbamic acid derivatives,10,4
CHEMONTID:0001551,Diterpenoids,10,3
CHEMONTID:0001585,Organosulfonamides,10,2
CHEMONTID:0001861,Pyridinesulfonamides,10,4
CHEMONTID:0001892,Biphenylcarbonitriles,10,2
CHEMONTID:0002514,Salicylic acids,10,6
CHEMONTID:0002798,"1,3,5-triazinanes",10,7
CHEMONTID:0003079,Ketoximes,10,6
CHEMONTID:0003359,N-arylpiperazines,10,2
CHEMONTID:0003955,Benzidines,10,4
CHEMONTID:0004010,m-Phthalate esters,10,4
CHEMONTID:0004293,1-benzothiophenes,10,2
CHEMONTID:0004484,Trialkylphosphites,10,3
CHEMONTID:0004619,Aryl phosphotriesters,10,12
CHEMONTID:0000143,Bisphenols,9,13
CHEMONTID:0000153,Naphthoquinones,9,4
CHEMONTID:0000486,Quinoxalines,9,4
CHEMONTID:0000503,Quaternary ammonium salts,9,5
CHEMONTID:0000573,Post-transition metal chlorides,9,5
CHEMONTID:0001106,M-phthalic acid and derivatives,9,4
