substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,echa_lists,bio_activity_labels
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bd4f6469d9cceca2d9b5e09552e2a131,2-chloro-N-[[[4-(trifluoromethoxy)phenyl]amino]carbonyl]benzamide,3,3,0,3,Pesticides,reach_registrations|pesticides|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bd9796dc7bc1e4c9d621294d54813d4c,Sodium chloride,3,3,0,3,Pesticides,reach_registrations|pesticides|dossier_evaluation,NMR chemical shift reference compound|flame retardant|emetic
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/beac0534bda1c211d105f9630a165680,"2-methylpentane-2,4-diol",3,3,0,3,Harmonised / CLP,harmonised_list|reach_registrations|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bec7c3081b19f690e8cbc517750a3d0c,"1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",3,1,2,1,Other,eu_positive_list,disinfectant|allergen|antibacterial agent|hapten
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bf1c4414f586791d05d79728632ea34d,4-(1-oxo-2-propenyl)-morpholine,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bf2629749a5636cdcb964dacf883a278,"N,N'-(methylenedi-p-phenylene)bis(aziridine-1-carboxamide)",3,3,0,3,Harmonised / CLP,reach_registrations|clh_process|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bf923037b4599c2013cb4eaf129351d2,Dipotassium hexachloroplatinate,3,3,0,3,Harmonised / CLP,reach_registrations|dossier_evaluation|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bfacb800b8caeef9750f28c1d9dfa998,Sodium dimethylarsinate,3,2,1,1,Pesticides,pesticides,herbicide|buffer
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bfff1e5380c68b33f44e7f83c468a7ae,2-[(2-[2-(dimethylamino)ethoxy]ethyl)methylamino]ethanol,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c01a96947a84450b77c4ab87238609aa,Methyl (S)-(-)-lactate,3,3,0,3,Harmonised / CLP,reach_registrations|harmonised_list|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c023b2af3f72b8199db6278659f8b1d3,Choline chloride,3,3,0,3,Pesticides,reach_registrations|pesticides|dossier_evaluation,animal growth promotant
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c0e2463a08f1d0f6a4fc0362ed41ff6b,Tetraethyl orthosilicate,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c130261beeb6935b4ee77acf4c381379,"2,2'-methylenebis(4,6-di-tert-butyl-phenyl)-2-ethylhexyl phosphite",3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c158a93c536909c77d2009c279b96fee,"3,3'-iminodi(propylamine)",3,3,0,3,Harmonised / CLP,harmonised_list|reach_registrations|dossier_evaluation,plant metabolite|algal metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c2285e9be7759d1c87466b3755ed0c23,Ethyl (S)-2-hydroxypropionate,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,Saccharomyces cerevisiae metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c257303ba8d3a68f0304ca09a019ae1c,"Garlic, ext.",3,2,1,1,Harmonised / CLP,clh_process,estrogen receptor antagonist|apoptosis inducer|antilipemic drug|antiprotozoal drug|antineoplastic agent|anti-inflammatory agent|insecticide|vasodilator agent|antioxidant|platelet aggregation inhibitor
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c25f5357352ce80d3e71b3369e92bead,Butylamine,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c4111881f016b6dc1326e4a48c178662,Flucarbazone-sodium,3,2,1,1,Pesticides,pesticides,herbicide|EC 2.2.1.6 (acetolactate synthase) inhibitor|agrochemical
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c46c55c8b2f08958ed746fd49c122866,Trimethylamine,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,human xenobiotic metabolite|Escherichia coli metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c513246fc512ff576287c5c77cc35fa8,"Tris(2-ethylhexyl)-4,4',4''-(1,3,5-triazine-2,4,6-triyltriimino)tribenzoate",3,3,0,3,Harmonised / CLP,reach_registrations|clh_process|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c53fc9db4324e39b4c63b5f36f19e4b2,Hesperidin,3,0,3,1,Other,reach_registrations,mutagen
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c5622718c338a3efe8fff8c8d03261d3,Triethoxyisobutylsilane,3,3,0,3,Harmonised / CLP,harmonised_list|reach_registrations|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c5bd21d650942f699376b4565be2f789,1-[4-(4-benzoylphenylsulfanyl)phenyl]-2-methyl-2-(4-methylphenylsulfonyl)propan-1-one,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c60aa358a007f2d7fc32cb4fea4e4d77,(benzyloxy)methanol,3,3,0,2,Harmonised / CLP,eu_positive_list|clh_process,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c642418fba544ca47fa143768caf8abc,"3,4-xylenol",3,3,0,3,Harmonised / CLP,dossier_evaluation|reach_registrations|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c6bea57bffa92cc1446b46280965456b,"2-(1-(2-hydroxy-3,5-di-tert-pentyl-phenyl)ethyl)-4,6-di-tert-pentylphenyl acrylate",3,3,0,3,Harmonised / CLP,eu_positive_list|harmonised_list|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c80ce1fffac1e36abf110c215bc23889,Sucrose,3,3,0,2,Pesticides,pesticides|eu_positive_list,osmolyte|algal metabolite|Saccharomyces cerevisiae metabolite|sweetening agent|mouse metabolite|human metabolite|Escherichia coli metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c8a0f5198f905f7af916f24d91fd55b5,phosphorous acid,3,3,0,2,Harmonised / CLP,harmonised_list|eu_positive_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c91e68a5af981a4c04424130726ae87f,oxygen,3,3,0,2,Harmonised / CLP,harmonised_list|eu_positive_list,anti-inflammatory drug|nutrient|food packaging gas|reagent|human metabolite|oxidising agent|micronutrient|Saccharomyces cerevisiae metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c9a070ba0938317ed090928852c4778a,Cobalt sulphide,3,3,0,3,Harmonised / CLP,reach_registrations|harmonised_list|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/cb2d9f58560e052ebc225a0a61f8bc46,Tris[2-[2-(2-methoxyethoxy)ethoxy]ethyl] orthoborate,3,3,0,3,Harmonised / CLP,reach_registrations|clh_process|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/cb3f88277f0cec0ede4b32bb6f7ac396,Nickel monoxide,3,3,0,3,Harmonised / CLP,reach_registrations|harmonised_list|dossier_evaluation,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/cb7a0efb6a2905099ffe915ab97b25e0,2-ethoxy-1-methylethyl acetate,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/cc70dd7e907095bdc25245b994235eab,"2,6-dichloro-N-phenylaniline",3,3,0,2,PBT,pbt_assessment|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ce90eb29222a32db8abafdd0035d6852,Chlorine,3,3,0,3,Harmonised / CLP,reach_registrations|harmonised_list|eu_positive_list,bleaching agent
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ce916eaa2df9452a8e3e7b4d1018f3fd,Teflubenzuron,3,2,1,2,Pesticides,pesticides|reach_registrations,insecticide|environmental contaminant|xenobiotic
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ceb7da0c8822bcb2d59108f58071b232,1-butoxypropan-2-ol,3,3,0,3,Harmonised / CLP,dossier_evaluation|reach_registrations|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/cf90aac9db194bb22bd637b24103b2db,"2-[(1R,6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol",3,2,1,1,Harmonised / CLP,clh_process,plant metabolite|antimicrobial agent
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d003c5cdbff2f97db4db17a88675c65e,Lecithin,3,3,0,2,Pesticides,eu_positive_list|pesticides,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d00c1e7e985f77b29bd75e4b732f64f0,Pentaerithrityl tetranitrate,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,explosive|vasodilator agent
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d01940cc944d1352b19a0010529823a3,Streptomycin,3,2,1,1,Pesticides,pesticides,bacterial metabolite|antimicrobial agent|antibacterial drug|protein synthesis inhibitor|antifungal agrochemical|antimicrobial drug
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d01e77cab86dbed200762df2355b478a,"2,4,4-trimethylhexamethylene-1,6-di-isocyanate",3,3,0,2,Harmonised / CLP,eu_positive_list|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d025f1b6da7035097f201ee175a3e830,"Ionone, methyl-",3,3,0,2,PBT,reach_registrations|pbt_assessment,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d04124692ec172c2da4b64a2195afffb,Tin(II) bis(methanesulfonate),3,3,0,3,Harmonised / CLP,reach_registrations|dossier_evaluation|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d121335f970219a25c9334da4bcc3aa6,Tetrahydrothiophene,3,3,0,3,Harmonised / CLP,dossier_evaluation|reach_registrations|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d1bd699f82aa4a043bc0e8e42a527f38,"Tetrasodium 4-amino-5-hydroxy-3,6-bis[[4-[[2-(sulphonatooxy)ethyl]sulphonyl]phenyl]azo]naphthalene-2,7-disulphonate",3,3,0,3,Harmonised / CLP,reach_registrations|dossier_evaluation|clh_process,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d2034657981e278777f37f195144efd9,3-(dimethylamino)propylurea,3,3,0,3,Harmonised / CLP,reach_registrations|dossier_evaluation|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d30865eaadec6856041a3d7c7203c64d,"3-hydroxy-1,1-dimethylbutyl 2-ethyl-2-methylheptaneperoxoate",3,3,0,3,Harmonised / CLP,harmonised_list|reach_registrations|dossier_evaluation,
