substance_name,best_match,score_1
"1(4H)-Naphthalenone, 8-aminodibromo-5-hydroxy-4-imino","4-hydroxy-6,7-benzomorphans",0.9448271177428839
"1,3-Benzenediamine, coupled with diazotized m-phenylenediamine, acetates",O-phenylenediamines,0.9448128865186463
Trinickel phosphide,Transition metal phosphites,0.944768905119813
"Benzenesulfonic acid, 4-C15-16-sec-alkyl derivs.",4-arylsulfanyl-substituted kainoids,0.9447381797651804
cycloalkyl-2-isopentyl-alkanediol,1-carboxy-2-haloaromatic compounds,0.9446688619275404
C14-16 (even numbered) and C16 (branched) saturated and unsaturated aliphatic hydrocarbons,Unsaturated aliphatic hydrocarbons,0.9446317886326274
"Isostearic acid, esters with methyl α-D-glucoside",Anthocyanidin 3p-O-p-coumaroyl glycosides,0.9446198463433144
"2-Oxepanone, polymer with 1,6-hexanediol","1,4-dioxepanes",0.9445032870605713
2-methyl-1-oxoprop-2-en-1-aminium C10-C13 alkyl benzenesulfonate,"1,2-diaryl-2-propen-1-ols",0.9444721789164799
"1,2,4-Benzenetricarboxylic acid, tri-C9-11-alkyl esters","1,3-dithiolane-4-carboxylic acids",0.944419596312491
"Reaction products of adipic acid, 2-(2-methoxyethoxy)ethanol and phenylmethanol",2-polyprenyl-6-methoxyphenols,0.9444185529747025
"2,6,6-trimethylcyclohex-1-enecarbonitrile","Benzoylcyclohexane-1,3-diones",0.9444164954880913
"4,4'-Isopropylidenediphenol, oligomeric reaction products with 1-chloro-2,3-epoxypropane",2-polyprenyl-6-methoxyphenols,0.9443695415606941
"2,3-Difluorpropoxybenzol","1,4-dihydroxy-2-halobenzenoids",0.9442892171743318
2-Hexyl-2 ‘-hydroxy-5 ‘methyldecananilide,(S)-3-hydroxy-3-alkylglutaryl CoAs,0.9442846121243771
"3-oxydo-2,4-pyrimidinediamine monohydrate","5-Benzylpyrimidine-2,4-diamines",0.9442081783880905
"1-ethyl-5,6,7,8-tetrahydroquinolinium tosylate","5,6,7,8-tetrahydropteridines",0.9441506240038405
N-[3-(dimethylamino)propyl] C6-9 alkyl amides,N-alkyl-O-phenylhydroxylamines,0.9441197858813142
"Benzenesulfonic acid, 4-C20-24 (even numbered) sec-alkyl derivs.",4-arylsulfanyl-substituted kainoids,0.9441119260152877
Reaction mass of dimethyl phosphonate and methyl hydrogenphosphonate and phosphonic acid,Perfluoroalkyl phosphonic acid and derivatives,0.9440745675956392
Alkophen mesyl lactone,Carbothioic S-lactones,0.9440113242739208
(4-Methoxyphenyl)diphenylsulfoniumnonaflate,Dimethoxybenzyl-N-methylpiperazines,0.9440094974588085
N-methyl-di-C16-18-(even numbered)-alkylamines,"N,N-dialkyl-m-toluamides",0.9439850887920321
