substance_name,best_match,score_1
"(S)-propane-1,2-diamine bis((2S,3S)-2,3-dihydroxysuccinate) dihydrate","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9150700586507416
"5,6-diethylindan-2-aminium chloride","5-Benzylpyrimidine-2,4-diamines",0.9150030212350488
platinum complexes,Transition metal chlorides,0.9148321507554878
"1,3-diphenylpropane-1,2,3-trione 2-[O-(ethoxycarbonyl)oxime]","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.91470403606838
MERCURY BROMATE,Alkali metal bromates,0.9146391271041703
"2,2-bis[(hexadecanoyloxy)methyl]propane-1,3-diyl dihexadecanoate","1,2-diacyl-sn-glycerol-3(2'-aminopropyl)phosphonates",0.9145149296375537
fish oil fatty acids,Unsaturated fatty acids,0.9143803641581472
"1,2,3-Propanetricarboxylic acid, 2-Hydroxy-, tris(C12-13-branched-alkyl)ester","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9143766720029435
"Anthra[9,1,2-cde]benzo[rst]pentaphene-5,10-dione, bromo derivatives","Chromeno[2,3-b]pyridines",0.9143737523835133
europium aluminium silicate,Alkaline earth metal silicates,0.9143199569369795
"1,2-Benzenediol, 3,5-dialkyl-, 1,2-dicarboxylate","1,3,5-triazine-2,4-diamines",0.9143088500554032
"1H,3H,5H-Oxazolo[3,4-c]oxazole, 3,5-bis(1,5-dimethyl-4-hexenyl)dihydro-","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9142874345631747
Acridinic bases,Acrylic acids,0.9142631609101423
Alkylated Naphthalene Sulphonic Acid,Naphthalene sulfonates,0.9142576521090346
"Reaction product of 2,4-bis(2-methylbutan-2-yl)phenol and phosphorous pentoxide","1,2-diacyl-sn-glycerol-3(2'-aminopropyl)phosphonates",0.9142139049515812
"N'-{3-[(3-aminopropyl)amino]propyl}-N,N-di-C16- C18 (evennumbered) alkyl propane-1,3-diamine","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9141788171105086
diethoxydihydroquinone,Naphthohydroquinones,0.914172319901532
palm oil fatty acids,Straight chain fatty acids,0.9140765745493217
AMINE KETAL,Carboxylic acid amide acetals,0.9139194972612387
"2,9-bis(3-(diethylamino)propylsulfamoyl)quino(2,3-b)acridine-7,14-dione","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9139148280346641
"3-Ethoxy-4,6-difluoro-7-pentoxy-dibenzothiophene","2-amino-3-aroyl-4,5-alkylthiophenes",0.9138389486107322
"Sodium 1-amino-9,10-dioxo-4-(2,4,6-trimethylanilino)anthracene-2-sulfonate, reaction products with acidified C10-14-tert-alkyl(linear and branched) amines","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9137735097085338
"2-ethyl-2-(hydroxymethyl)propane-1,3-diol, propoxylated, reaction product with methyl 3-oxobutanoate","1,2-diacyl-sn-glycerol-3(2'-aminopropyl)phosphonates",0.913544784647474
"3-ethoxy-4,6-difluoro-7-hexyloxy-dibenzothiophene","2-amino-3-aroyl-4,5-alkylthiophenes",0.9134757559067158
"iso(C10-C14)alkyl (3,5-di-tert-butyl-4-hydroxyphenyl)methylthioacetate","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9134565377847035
